num_timely_payments,num_delayed_payments,num_defaults,payment_history_months,credit_utilization_ratio,credit_limit_total,outstanding_balance,num_credit_cards,credit_history_years,age_oldest_account_years,avg_account_age_years,num_bank_accounts,num_loans,has_mortgage,has_auto_loan,loan_types_count,num_credit_inquiries_6m,num_new_accounts_12m,months_since_last_inquiry,age,monthly_income,employment_length_years,total_debt,debt_to_income_ratio,payment_consistency_score,income_stability_score,cibil_score,score_category
36,18,3,121,76.37621921113336,63309,48353,1,11,7,5,4,5,0,0,1,10,6,18,44,144949,12,87857,60.61235331047472,65.45454545454545,27.27272727272727,497,Poor
72,8,1,339,14.927987293025534,233936,34921,3,16,9,9,5,6,1,1,3,3,1,37,45,123015,18,34189,27.792545624517334,88.88888888888889,40.0,791,Excellent
64,10,0,256,46.040291401294596,486408,223943,2,14,10,7,3,7,0,1,2,4,3,28,52,124174,14,202570,163.13398940196822,85.33333333333334,26.923076923076923,714,Good
57,15,2,227,67.6450455086833,401937,271890,4,6,5,3,3,6,0,0,1,9,3,25,37,96236,9,533105,300.0,78.08219178082192,24.324324324324326,585,Fair
30,17,2,181,77.19527514509247,437866,338011,3,6,3,2,2,3,0,0,1,13,6,14,43,59701,6,579518,300.0,62.5,13.953488372093023,482,Poor
38,22,3,139,72.47685180075914,195438,141647,3,11,9,5,2,1,0,0,1,11,3,20,38,57624,11,168744,292.83631820074964,62.295081967213115,28.947368421052634,505,Poor
15,19,3,120,76.27523362363968,162046,123600,1,8,4,4,2,5,0,0,1,14,4,15,26,74104,8,213179,287.6754291266328,42.857142857142854,30.76923076923077,405,Poor
69,14,1,223,21.033361928668207,410543,86350,5,11,8,7,4,6,1,0,2,7,2,33,57,182972,16,99060,54.13943116979647,82.14285714285714,28.07017543859649,712,Good
41,18,1,217,56.52581872444033,184630,104363,3,7,5,2,3,5,0,0,1,7,5,24,39,146847,9,88939,60.565758919147136,68.33333333333333,23.076923076923077,592,Fair
66,9,2,289,16.481961071167525,476882,78599,5,17,16,13,5,2,0,0,1,6,2,39,55,164100,10,98793,60.202925045703836,86.8421052631579,18.181818181818183,683,Good
8,20,2,98,96.88658514956651,312339,302614,1,1,0,0,3,3,0,0,1,15,6,15,27,127062,5,434117,300.0,27.586206896551722,18.51851851851852,401,Poor
88,11,1,252,37.44124170389167,585053,219051,5,17,13,10,5,3,0,0,1,6,2,49,49,127502,19,431408,300.0,88.0,38.775510204081634,772,Excellent
72,14,1,273,20.560984137765367,297423,61153,5,14,11,9,4,7,0,1,2,6,2,36,42,172172,9,103111,59.88836744650698,82.75862068965517,21.428571428571427,696,Good
33,21,3,179,71.56687797599074,103514,74081,3,13,9,7,3,4,0,0,1,11,6,16,35,113918,9,112942,99.14324338559315,60.0,25.71428571428571,488,Poor
28,18,5,147,55.29737435285913,430562,238089,1,4,2,2,4,1,0,0,1,11,5,22,41,121433,10,343378,282.771569507465,59.57446808510638,24.390243902439025,491,Poor
38,21,4,118,62.11410837865289,142349,88418,4,10,7,5,2,7,0,0,1,11,3,19,42,118489,5,104676,88.3423777734642,63.33333333333333,11.904761904761903,526,Poor
29,24,4,178,77.20369099597387,376898,290979,4,10,6,5,3,3,0,0,1,11,6,24,43,115441,5,346065,299.7765092124982,53.70370370370371,11.627906976744185,470,Poor
46,20,1,202,49.95480440956028,325908,162806,2,7,4,3,4,5,0,0,1,9,4,19,52,160319,15,265859,165.8312489474111,68.65671641791045,28.846153846153843,574,Fair
44,14,2,163,62.79314990999261,377930,237314,5,8,6,4,4,5,0,0,1,8,4,31,49,163940,14,323955,197.60583140173233,74.57627118644068,28.57142857142857,618,Fair
32,19,2,102,81.98075444436958,77766,63753,2,7,4,3,3,5,0,0,1,12,3,20,49,89620,13,87361,97.47935728632002,61.53846153846154,26.53061224489796,502,Poor
51,11,0,221,47.89606868296083,417065,199757,3,13,8,9,5,0,0,1,1,10,3,27,42,125789,17,328923,261.4878884481155,80.95238095238095,40.476190476190474,620,Fair
4,24,3,142,88.55216535023771,168087,148844,3,0,0,0,3,5,0,0,1,15,6,11,35,120988,2,208643,172.44933381822992,13.793103448275861,5.714285714285714,388,Poor
27,15,5,106,45.94190263410363,290832,133613,2,6,3,2,2,5,0,0,1,12,3,14,35,101186,12,123968,122.51497242701559,62.7906976744186,34.285714285714285,505,Poor
39,18,2,140,56.85081197068156,236217,134291,4,12,7,6,4,6,0,0,1,9,5,21,36,117286,6,260615,222.20469621267668,67.24137931034483,16.666666666666664,520,Poor
50,20,1,217,64.59760021382161,138015,89154,2,6,5,2,2,7,0,0,1,9,3,33,37,77602,11,170665,219.92345558104174,70.4225352112676,29.72972972972973,575,Fair
78,8,1,276,48.262482928111446,209472,101096,4,17,11,9,3,3,0,0,1,4,2,39,52,105924,17,149126,140.78584645594955,89.65517241379311,32.69230769230769,729,Good
21,20,3,182,87.14470230363095,379457,330676,1,7,4,4,2,7,0,0,1,11,4,30,43,64163,9,398194,300.0,50.0,20.930232558139537,484,Poor
45,11,2,246,32.95019379130252,307365,101277,4,9,5,6,3,0,0,1,1,9,2,35,48,157593,11,133912,84.97331734277537,78.94736842105263,22.916666666666664,605,Fair
46,12,2,235,42.52115040333585,264852,112618,4,11,9,6,5,7,0,1,2,8,4,21,42,132904,11,126351,95.06937338229098,77.96610169491525,26.190476190476193,625,Fair
26,25,3,126,65.18576985983007,378008,246407,2,4,2,2,2,5,0,0,1,14,5,11,40,38506,10,288666,300.0,50.0,25.0,402,Poor
56,15,1,163,64.6636782125014,313884,202968,1,8,4,5,2,4,0,0,1,10,5,21,42,133695,10,268326,200.70010097610233,77.77777777777779,23.809523809523807,593,Fair
34,18,5,174,76.53571771255132,302482,231506,4,13,12,7,3,7,0,0,1,11,5,29,41,82450,9,438419,300.0,64.15094339622641,21.951219512195124,496,Poor
25,25,5,115,97.2032339221395,352270,342417,1,8,6,4,2,1,0,0,1,15,4,22,27,33792,11,629511,300.0,49.01960784313725,40.74074074074074,418,Poor
83,9,0,311,20.068276118179135,199675,40071,6,22,19,14,5,4,0,0,1,6,2,43,53,121295,13,56810,46.83622573065666,89.24731182795699,24.528301886792452,780,Excellent
86,4,0,357,0.0,526450,0,6,15,14,8,4,6,0,1,2,4,1,50,62,178626,17,0,0.0,94.5054945054945,27.419354838709676,818,Excellent
70,10,0,257,38.026084937255334,305764,116270,5,20,12,15,3,7,1,1,3,8,2,27,43,122519,16,132015,107.7506345954505,86.41975308641975,37.2093023255814,692,Good
33,15,5,104,81.01945935744016,224914,182224,1,3,2,2,3,0,0,0,0,12,5,22,47,134669,12,305927,227.16957874492275,67.3469387755102,25.53191489361702,502,Poor
25,26,5,116,63.6687747251417,110622,70431,1,7,6,4,1,3,0,0,1,13,6,10,32,63782,3,62573,98.10448088802484,48.07692307692308,9.375,410,Poor
43,12,2,202,60.09333614045535,416722,250422,3,17,12,10,5,0,0,0,0,7,4,36,38,165954,15,352055,212.1401111151283,76.78571428571429,39.473684210526315,615,Fair
62,16,2,228,52.2775038795978,268252,140235,2,9,5,6,5,5,0,0,1,10,4,25,37,134375,16,210743,156.832,78.48101265822784,43.24324324324324,616,Fair
17,26,5,82,64.45572947975661,250665,161567,0,2,1,1,1,5,0,0,1,14,4,8,31,45678,4,175855,300.0,38.63636363636363,12.903225806451612,425,Poor
52,17,0,208,56.699704956201785,369860,209709,4,15,10,6,3,0,0,0,0,8,3,31,51,132680,9,366083,275.9142297256557,74.28571428571429,17.647058823529413,598,Fair
7,22,4,94,65.81699131015658,66221,43584,1,0,0,0,1,2,0,0,1,13,7,24,42,32550,2,86098,264.5099846390169,23.333333333333332,4.761904761904762,400,Poor
